Date,CPI_YoY
2021-01-01,1.4
2021-02-01,1.7
2021-03-01,2.6
2021-04-01,4.2
2021-05-01,5.0
2021-06-01,5.4
2021-07-01,5.4
2021-08-01,5.3
2021-09-01,5.4
2021-10-01,6.2
2021-11-01,6.8
2021-12-01,7.0
2022-01-01,7.5
2022-02-01,7.9
2022-03-01,8.5
2022-04-01,8.3
2022-05-01,8.6
2022-06-01,9.1
2022-07-01,8.5
2022-08-01,8.3
2022-09-01,8.2
2022-10-01,7.7
2022-11-01,7.1
2022-12-01,6.5
2023-01-01,6.4
2023-02-01,6.0
2023-03-01,5.0
2023-04-01,4.9
2023-05-01,4.0
2023-06-01,3.0
2023-07-01,3.2
2023-08-01,3.7
2023-09-01,3.7
2023-10-01,3.2
2023-11-01,3.1
2023-12-01,3.4
2024-01-01,3.1
2024-02-01,3.2
2024-03-01,3.5
2024-04-01,3.4
2024-05-01,3.3
2024-06-01,3.0
2024-07-01,2.9
2024-08-01,2.5
2024-09-01,2.4
2024-10-01,2.6
2024-11-01,2.7
2024-12-01,2.9
